wAja wAja
KAsakara KAsakara
Ese EsA
kAnUna kAnUna
XArmika XArmika
mAnyawAoM mAnyawA
kI kA
svABAvika svABAvika
aBivyakwi aBivyakwi
ko ko
rokawe roka
hEM hE
, COMMA
hAlAMki hAlAMki
siKa siKa
baccoM baccA
ke kA
mAmale mAmalA
meM meM
yaha yaha
mahawvapUrNa mahawvapUrNa
hE hE
. .
jahAMgIra jahAMgIra
ne ne
kahA kaha
ki ki
xIrGakAla xIrGakAla
meM meM
XArmika XArmika
prawIkoM prawIka
ke kA
iswemAla iswemAla
se se
saMbaMXiwa saMbaMXiwa
kAnUnoM kAnUna
ke kA
aprawyakRa aprawyakRa
nawIjoM nawIjA
ko ko
lekara le
merI mEM
ciMwA ciMwA
hE hE
. .
unhoMne vaha
vEse vEsA
mAmaloM mAmalA
kA kA
uxAharaNa uxAharaNa
xiyA xe
, COMMA
jahAM jahAz
Ese EsA
kAnUnoM kAnUna
ke kA
kriyAnvayana kriyAnvayana
se se
logoM loga
ko ko
KAsakara KAsakara
muslima muslima
yuvawiyoM yuvawI
ko ko
prawAdZiwa prawAdiwa
kiyA kara
gayA jA
. .
unhoMne vaha
kahA kaha
ki ki
kaI kaI
logoM loga
kA kA
mAnanA mAna
hE hE
ki ki
isa yaha
waraha waraha
kI kA
prawAdZanA prawAdanA
se se
praBAviwa praBAviwa
vyakwiyoM vyakwi
va va
unase vaha
saMbaMXiwa saMbaMXiwa
logoM loga
meM meM
kattaravAxa kattaravAxa
kI kA
pravqwi pravqwi
baDZa baDZa
sakawI saka
hE hE
. .
isake yaha
alAvA alAvA
kArya kArya
sWala sWala
yA yA
yUnivarsitI yUnivarsitI
meM meM
yA yA
skUla skUla
ke ke
bAhara bAhara
jaba jaba
mahilAeM mahilA
kaWiwa kaWiwa
islAmika islAmika
skArPa skArPa
pahanawI pahana
hEM hE
wo wo
isase yaha
XArmika XArmika
asahiRNuwA asahiRNuwA
kI kA
pravqwi pravqwi
PElawI PEla
hE hE
. .
unhoMne vaha
kahA kaha
ki ki
90 90
ke kA
xaSaka xaSaka
ke kA
uwwarArxGa uwwarArxGa
meM meM
XArmika XArmika
viRayoM viRaya
se se
saMbaMXiwa saMbaMXiwa
kaI kaI
kaxama kaxama
uTAe uTA
jAne jA
se se
XArmika XArmika
svawaMwrawA svawanwrawA
ke kA
aXikAra aXikAra
kA kA
hanana hanana
huA ho
hE hE
, COMMA
lekina lekina
piCale piCalA
kuCa kuCa
varRoM varRa
meM meM
sarakAra sarakAra
ne ne
sWiwi sWiwi
ko ko
behawara behawara
banAne banA
ke ke
lie lie
kaxama kaxama
uTAnA uTA
SurU SurU
kara kara
xiyA xe
hE hE
. .
jahAMgIra jahAMgIra
apanI apanA
PrAMsa PrAMsa
yAwrA yAwrA
ke ke
xOrAna xOrAna
sarakAra sarakAra
va va
nyAyapAlikA nyAyapAlikA
ke kA
aXikAriyoM aXikArI
, COMMA
viBinna viBinna
saMsWAoM saMsWA
ke kA
prawiniXiyoM prawiniXi
, COMMA
muKya muKya
XArmika XArmika
samuxAyoM samuxAya
va va
gEra gEra
sarakArI sarakArI
saMgaTanoM saMgaTana
se se
milIM mila
. .
emadIemake emadIemake
mahAsaciva mahAsaciva
vAiko vAiko
Ora Ora
ATa ATa
anya anya
logoM loga
ke ke
KilAPa KilAPa
potA potA
mAmalA mAmalA
vApasa vApasa
lene le
ke kA
wamilanAdu wamilanAdu
sarakAra sarakAra
ke kA
AxeSa AxeSa
kI kA
prawi prawi
kI kA
mAMga mAMga
karawe kara
hue ho
viSeRa viSeRa
axAlawa axAlawa
ne ne
buXavAra buXavAra
ko ko
apanA apanA
PEsalA PEsalA
3 3
siwaMbara siwaMbara
waka waka
tAla tAla
xiyA xe
hE hE
. .
sarakArI sarakArI
vakIla vakIla
jayakumAra jayakumAra
ne ne
axAlawa axAlawa
se se
apIla apIla
kI kara
ki ki
unake vaha
pAsa pAsa
rAjya rAjya
sarakAra sarakAra
ke kA
AxeSa AxeSa
kI kA
prawi prawi
nahIM nahIM
hE hE
, COMMA
lekina lekina
vaha vaha
axAlawa axAlawa
ko ko
prawi prawi
upalabXa upalabXa
karA karA
xeMge xe
. .
isase yaha
pahale pahale
26 26
agaswa agaswa
ko ko
potA potA
jaja jaja
ela. ela.
rAjeMxrana rAjeMxrana
ne ne
aBiyojana aBiyojana
pakRa pakRa
kI kA
ora ora
se se
xAyara xAyara
yAcikA yAcikA
para para
PEsalA PEsalA
sunAne sunA
kI kA
Aja Aja
kI kA
wArIKa wArIKa
waya waya
kI kara
WI WA
. .
sAWa sAWa
hI hI
axAlawa axAlawa
ne ne
mAmale mAmalA
ke kA
saBI saBI
AropiyoM AropI
ko ko
axAlawa axAlawa
meM meM
mOjUxa mOjUxa
rahane raha
ke kA
nirxeSa nirxeSa
BI BI
jArI jArI
kie kara
We WA
. .
jabaki jabaki
buXavAra buXavAra
ko ko
mAmale mAmalA
kI kA
sunavAI sunavAI
ke ke
xOrAna xOrAna
bacAva bacAva
pakRa pakRa
ke kA
vakIloM vakIla
jI. jI.
xevaxAsa xevaxAsa
Ora Ora
ke. ke.
esa. esa.
xinakarana xinakarana
ne ne
sIArapIsI sIArapIsI
kI kA
XArA XArA
317 317
ke ke
wahawa wahawa
yAcikA yAcikA
xAyara xAyara
kara kara
vAiko vAiko
kI kA
axAlawa axAlawa
meM meM
vyakwigawa vyakwigawa
peSI peSI
kI kA
CUta CUta
kI kA
mAMga mAMga
kI kara
. .
vAiko vAiko
isa yaha
samaya samaya
navacewanA navacewanA
yAwrA yAwrA
para para
hEM hE
. .
sarakArI sarakArI
vakIla vakIla
ne ne
apanI apanA
yAcikA yAcikA
meM meM
keMxrIya keMxrIya
potA potA
punarIkRaNa punarIkRaNa
samiwi samiwi
kA kA
havAlA havAlA
xiyA xe
. .
samiwi samiwi
kA kA
kahanA kaha
hE hE
ki ki
sahAnuBUwi sahAnuBUwi
kI kA
aBivyakwi aBivyakwi
Ora Ora
BARAI BARAI
evaM evaM
pAraMparika pAraMparika
riSwoM riSwA
ko ko
lekara le
SrIlaMkAI SrIlaMkAI
wamiloM wamila
ke ke
lie lie
samarWana samarWana
ko ko
prawibaMXiwa prawibaMXiwa
litte litte
ke kA
samarWana samarWana
ke ke
rUpa rUpa
meM meM
nahIM nahIM
xeKA xeKa
jA jA
sakawA saka
hE hE
. .
bihAra bihAra
ke kA
rAjyapAla rAjyapAla
bUtA bUtA
siMha siMha
ne ne
bqhaspawivAra bqhaspawivAra
ko ko
mujaPParapura mujaPParapura
jile jilA
ke kA
bADZa bADZa
praBAviwa praBAviwa
ilAkoM ilAkA
meM meM
anupasWiwa anupasWiwa
cikiwsakoM cikiwsaka
ko ko
wuraMwa wuraMwa
nilaMbiwa nilaMbiwa
karane kara
ke kA
AxeSa AxeSa
xie xe
hEM hE
Ora Ora
jilAXikArI jilAXikArI
ko ko
binA binA
cikiwsaka cikiwsaka
vAle vAlA
svAsWya svAsWya
keMxroM keMxra
meM meM
nijI nijI
cikiwsakoM cikiwsaka
ko ko
niyukwa niyukwa
karane kara
ko ko
kahA kaha
hE hE
. .
buXavAra buXavAra
ko ko
jile jilA
ke kA
bADZa bADZa
praBAviwa praBAviwa
uraI uraI
blZOYka blZOYka
ke kA
kuCa kuCa
gAMvoM gAMva
kA kA
xOrA xOrA
karane kara
ke ke
bAxa bAxa
rAjyapAla rAjyapAla
ne ne
pawrakAroM pawrakAra
se se
kahA kaha
ki ki
dyUtI dyUtI
para para
anupasWiwa anupasWiwa
pAe pA
gae jA
xo xo
cikiwsakoM cikiwsaka
ko ko
pahale pahale
hI hI
nilaMbiwa nilaMbiwa
kara kara
xiyA xe
gayA jA
hE hE
. .
rAjyapAla rAjyapAla
ne ne
jilAXikArI jilAXikArI
esa. esa.
ke. ke.
miSrA miSrA
ko ko
praBAviwa praBAviwa
ilAkoM ilAkA
meM meM
yuxXaswara yuxXaswara
para para
rAhawa rAhawa
kArya kArya
SurU SurU
karane kara
ke kA
nirxeSa nirxeSa
xie xe
hEM hE
Ora Ora
buXavAra buXavAra
ko ko
sIwAmaDZI sIwAmaDZI
jile jilA
meM meM
nOkA nOkA
hAxase hAxasA
meM meM
mAre mAra
gae jA
vyakwi vyakwi
ke kA
najaxIkI najaxIkI
riSwexAra riSwexAra
ko ko
50000 50000
muAvajA muAvajA
xene xe
kI kA
GoRaNA GoRaNA
kI kara
. .
sIwAmaDZI sIwAmaDZI
jile jilA
meM meM
bAgamawI bAgamawI
naxI naxI
meM meM
nOkA nOkA
dUba dUba
jAne jA
se se
pAMca pAMca
loga loga
mAre mAra
gae jA
We WA
. .
isake yaha
alAvA alAvA
rAjyapAla rAjyapAla
ne ne
naksala naksala
praBAviwa praBAviwa
ilAkoM ilAkA
mujaPParapura mujaPParapura
, COMMA
sIwAmaDZI sIwAmaDZI
, COMMA
NULL _
siyohara siyohara
jiloM jilA
meM meM
grAmINa grAmINa
sadZakoM sadZaka
ke ke
lie lie
15 15
karodZa karoda
rupaye rupayA
BI BI
maMjUra maMjUra
kie kara
Ora Ora
sadZaka sadZaka
nirmANa nirmANa
viBAga viBAga
saciva saciva
SiSira SiSira
sinhA sinhA
ko ko
eka eka
mahIne mahInA
ke ke
aMxara aMxara
mujaPParapura mujaPParapura
, COMMA
xaraBaMgA xaraBaMgA
, COMMA
BAgalapura BAgalapura
, COMMA
gayA gayA
Ora Ora
pUrNiyA pUrNiyA
se se
judZe judZa
rAjamArga rAjamArga
kI kA
marammawa marammawa
karane kara
ko ko
kahA kaha
. .
paScima paScima
caMpAraNa caMpAraNa
jile jilA
ke kA
suswA suswA
meM meM
nepAla nepAla
Ora Ora
BArawa BArawa
ke kA
kisAnoM kisAna
ke ke
bIca bIca
kisAnoM kisAna
meM meM
saMGarRa saMGarRa
ke ke
bAre bAre
meM meM
eka eka
savAla savAla
para para
unhoMne vaha
aXikAriyoM aXikArI
ko ko
sImA sImA
para para
swaMBa swaMBa
lagAne lagA
ke kA
nirxeSa nirxeSa
xie xe
. .
bArAmulA bArAmulA
jile jilA
meM meM
sopora sopora
kI kA
eka eka
masjixa masjixa
meM meM
Cipe Cipa
AwaMkiyoM AwaMkI
kI kA
golI golI
se se
jammU jammU
- -
kaSmIra kaSmIra
pulisa pulisa
ke kA
speSala speSala
OYpareSana OYpareSana
grupa grupa
ke kA
xo xo
pulisakarmI pulisakarmI
SahIxa SahIxa
ho ho
gae jA
. .
rakRA rakRA
sUwroM sUwra
ne ne
buXavAra buXavAra
ko ko
yaha yaha
jAnakArI jAnakArI
xI xe
. .
sUwroM sUwra
ke ke
muwAbika muwAbika
KuPiyA KuPiyA
jAnakArI jAnakArI
ke kA
AXAra AXAra
para para
52vIM 52vAz
rARtrIya rARtrIya
rAiPala rAiPala
ke kA
javAna javAna
Ora Ora
speSala speSala
OYpareSana OYpareSana
grupa grupa
ke kA
pulisakarmiyoM pulisakarmI
ne ne
CanaKana CanaKana
- -
sopora sopora
gAMva gAMva
kI kA
eka eka
masjixa masjixa
meM meM
Cipe Cipa
AwaMkiyoM AwaMkI
ko ko
pakadZane pakada
ke ke
lie lie
pUre pUrA
gAMva gAMva
ko ko
Gera Gera
liyA le
. .
rARtrIya rARtrIya
rAiPala rAiPala
ke kA
javAna javAna
masjixa masjixa
ke ke
bAhara bAhara
We WA
jabaki jabaki
rAjya rAjya
pulisa pulisa
kI kA
tIma tIma
masjixa masjixa
ke ke
aMxara aMxara
GusI Gusa
. .
isI yaha
bIca bIca
vahAM vahAz
Cipe Cipa
AwaMkiyoM AwaMkI
kI kA
golI golI
lagane laga
se se
xo xo
pulisakarmI pulisakarmI
GAyala GAyala
ho ho
gae jA
jinakI jo
bAxa bAxa
meM meM
mOwa mOwa
ho ho
gaI jA
. .
saxiyoM saxI
se se
mAnava mAnava
ke kA
mana mana
meM meM
yaha yaha
savAla savAla
rahA raha
hE hE
ki ki
kyA kyA
isa yaha
asIma asIma
aMwarikRa aMwarikRa
meM meM
hama hama
akele akelA
hEM hE
yA yA
brahmAMda brahmAMda
ke kA
kisI koI
graha graha
para para
jIvana jIvana
kisI koI
BI BI
svarUpa svarUpa
meM meM
mOjUxa mOjUxa
hE hE
. .
aBI aBI
waka waka
wo wo
vijFAniyoM vijFAnI
ko ko
isa yaha
savAla savAla
kA kA
nakArAwmaka nakArAwmaka
hI hI
javAba javAba
milA mila
hE hE
lekina lekina
xo xo
grahoM graha
kI kA
wAjA wAjA
Koja Koja
ne ne
vijFAniyoM vijFAnI
kI kA
ummIxeM ummIxa
baDZA baDZA
xI xe
hEM hE
. .
ina yaha
pqWvI pqWvI
sarIKe sarIKA
grahoM graha
meM meM
jIvana jIvana
kI kA
ummIxa ummIxa
hE hE
. .
ye yaha
xonoM xo
graha graha
pqWvI pqWvI
se se
15 15
- -
20 20
gunA gunA
jyAxA jyAxA
badZe badZA
hEM hE
. .
aMwarikRa aMwarikRa
vijFAniyoM vijFAnI
ne ne
hamAre hama
sOra sOra
maMdala maMdala
se se
bAhara bAhara
aMwarikRa aMwarikRa
meM meM
sUrya sUrya
ke ke
alAvA alAvA
55 55
kEMsarI kEMsarI
nAmaka nAmaka
wAre wArA
kI kA
parikramA parikramA
karane kara
vAle vAlA
grahoM graha
ke kA
eka eka
nae nayA
varga varga
kA kA
pawA pawA
lagAyA lagA
hE hE
. .
amerikI amerikI
aMwarikRa aMwarikRa
aXyayana aXyayana
keMxra keMxra
nAsA nAsA
ke ke
muwAbika muwAbika
piCale piCalA
eka eka
sapwAha sapwAha
ke ke
xOrAna xOrAna
aMwarikRa aMwarikRa
vijFAniyoM vijFAnI
ne ne
ina yaha
grahoM graha
kI kA
Koja Koja
kI kara
hE hE
. .
isa yaha
Koja Koja
se se
aMwarikRa aMwarikRa
meM meM
pqWvI pqWvI
ke ke
samAna samAna
kisI koI
xUsare xUsarA
graha graha
ke kA
mOjUxa mOjUxa
hone ho
kI kA
saMBAvanA saMBAvanA
prabala prabala
ho ho
gaI jA
hE hE
. .
kAranegI kAranegI
iMstItyUta iMstItyUta
OYPa OYPa
vASiMgatana vASiMgatana
ke kA
vijFAnI vijFAnI
pOYla pOYla
batalara batalara
ke ke
anusAra anusAra
hamAre hama
pAsa pAsa
pqWvI pqWvI
jEse jEsA
kisI koI
xUsare xUsarA
graha graha
ke kA
aswiwva aswiwva
kI kA
jAnakArI jAnakArI
PilahAla PilahAla
nahIM nahIM
hE hE
, COMMA
lekina lekina
isa yaha
naI nayA
Koja Koja
se se
ummIxa ummIxa
jAga jAga
uTI uTa
hE hE
ki ki
aMwarikRa aMwarikRa
meM meM
pqWvI pqWvI
ke ke
samAna samAna
koI koI
xUsarA xUsarA
graha graha
mOjUxa mOjUxa
ho ho
sakawA saka
hE hE
. .
Koje Koja
gae jA
xo xo
nae nayA
graha graha
pqWvI pqWvI
jEse jEsA
hEM hE
. .
amerikI amerikI
aMwarikRa aMwarikRa
ejeMsI ejeMsI
nAsA nAsA
ke kA
muKyAlaya muKyAlaya
para para
Ayojiwa Ayojiwa
eka eka
saMvAxaxAwA saMvAxaxAwA
sammelana sammelana
meM meM
aMwarikRa aMwarikRa
vijFAniyoM vijFAnI
ne ne
bawAyA bawA
hE hE
ki ki
nae nayA
grahoM graha
kA kA
xravyamAna xravyamAna
varuNa varuNa
( _
nepacUna nepacUna
) _
ke ke
barAbara _
hogA ho
Ora Ora
vyAsa vyAsa
hamArI hama
pqWvI pqWvI
kI kA
wulanA wulanA
meM meM
xo xo
- -
wIna wIna
gunA gunA
jyAxA jyAxA
hogA ho
. .
hAlAMki hAlAMki
ye yaha
nae nayA
graha graha
piCale piCalA
kuCa kuCa
xaSaka xaSaka
ke ke
xOrAna xOrAna
hamAre hama
sOramaMdala sOramaMdala
ke ke
bAhara bAhara
Koje Koja
gae jA
anya anya
grahoM graha
se se
Binna Binna
hEM hE
. .
piCale piCalA
kuCa kuCa
samaya samaya
meM meM
100 100
se se
jyAxA jyAxA
grahoM graha
kI kA
Koja Koja
kI kara
jA jA
cukI cuka
hE hE
. .
ina yaha
nae nayA
grahoM graha
kA kA
xravyamAna xravyamAna
bqhaspawi bqhaspawi
( _
jyUpitara jyUpitara
) _
ke ke
barAbara _
NULL _
Ora Ora
pqWvI pqWvI
kI kA
apekRA apekRA
318 318
gunA gunA
jyAxA jyAxA
hE hE
. .
NULL _
mAnA mAna
jA jA
rahA raha
hE hE
ki ki
ye yaha
gEsa gEsa
ke kA
gole golA
hEM hE
. .
isalie isaliye
ina yaha
para para
pqWvI pqWvI
ke ke
samAna samAna
jIvana jIvana
kI kA
ummIxa ummIxa
nahIM nahIM
kI kara
jA jA
sakawI saka
hE hE
. .
lekina lekina
55 55
kEMsarI kEMsarI
ke kA
nae nayA
grahoM graha
ke kA
parikramA parikramA
paWa paWa
ko ko
xeKakara xeKa
aMxAjA aMxAjA
lagAyA lagA
jA jA
sakawA saka
hE hE
ki ki
una vaha
para para
hamArI hama
pqWvI pqWvI
ke ke
samAna samAna
jIvana jIvana
saMBava saMBava
hE hE
. .
agara agara
vijFAnI vijFAnI
sOramaMdala sOramaMdala
ke ke
bAhara bAhara
wAroM wAra
kI kA
parikramA parikramA
karane kara
vAle vAlA
pqWvI pqWvI
ke ke
barAbara barAbara
xravyamAna xravyamAna
ke kA
kisI koI
xUsare xUsarA
graha graha
kA kA
pawA pawA
lagA lagA
pAwe pA
hEM hE
wo wo
usakI vaha
saMbaMXiwa saMbaMXiwa
wAre wArA
se se
xUrI xUrI
kI kA
gaNanA gaNanA
karane kara
ke ke
bAxa bAxa
vahAM vahAz
ke kA
wApamAna wApamAna
kA kA
aXyayana aXyayana
kiyA kara
jAegA jA
. .
wAki wAki
pawA pawA
cala cala
sake saka
ki ki
kyA kyA
vahAM vahAz
jIvana jIvana
ke ke
lie lie
AvaSyaka AvaSyaka
pAnI pAnI
Ora Ora
sawaha sawaha
isa yaha
rUpa rUpa
meM meM
mOjUxa mOjUxa
hE hE
jahAM jahAz
jIvana jIvana
saMBava saMBava
ho ho
sake saka
. .
tEksAsa tEksAsa
yUnivarsitI yUnivarsitI
kI kA
aMwarikRa aMwarikRa
vijFAnI vijFAnI
dOYktara dOYktara
bArabarA bArabarA
mEkArWara mEkArWara
ke ke
anusAra anusAra
isase yaha
pahale pahale
55 55
kEMsarI kEMsarI
wAre wArA
ke ke
cAroM cAra
ora ora
parikramA parikramA
karane kara
vAle vAlA
wIna wIna
anya anya
grahoM graha
kA kA
pawA pawA
lagAyA lagA
jA jA
cukA cuka
hE hE
. .
vijFAniyoM vijFAnI
kA kA
aMxAjA aMxAjA
hE hE
ki ki
wAroM wAra
kI kA
ora ora
padZane padZa
vAle vAlA
ina yaha
grahoM graha
ke kA
hisse hissA
kA kA
wApamAna wApamAna
377 377
selsiyasa selsiyasa
hogA ho
. .
wAroM wAra
ke ke
sAmane sAmane
vAlA vAlA
hissA hissA
behaxa behaxa
garama garama
NULL _
Ora Ora
pICe pICe
kA kA
BAga BAga
behaxa behaxa
TaMdA TaMdA
hogA ho
. .
yAni yAni
pqWvI pqWvI
se se
bAhara bAhara
jIvana jIvana
kI kA
saMBAvanAoM saMBAvanA
ke ke
prawi prawi
aBI aBI
hawASa hawASa
hone ho
kI kA
jarUrawa jarUrawa
nahIM nahIM
hE hE
. .
OYptikala OYptikala
PAibara PAibara
ke ke
jarie jariye
aba aba
jammU jammU
va va
kaSmIra kaSmIra
ke kA
leha leha
meM meM
BI BI
AXunikawama AXunikawama
saMcAra saMcAra
suviXAeM suviXA
upalabXa upalabXa
ho ho
sakeMgI saka
. .
keMxrIya keMxrIya
saMcAra saMcAra
maMwrI maMwrI
xayAniXi xayAniXi
mArana mArana
buXavAra buXavAra
ko ko
leha leha
meM meM
Aptikala Aptikala
PAibara PAibara
para para
AXAriwa AXAriwa
suviXAoM suviXA
kA kA
uxaGAtana uxaGAtana
kareMge kara
. .
Aptikala Aptikala
PAibara PAibara
para para
AXAriwa AXAriwa
suviXAoM suviXA
se se
jammU jammU
va va
kaSmIra kaSmIra
rAjya rAjya
ke kA
logoM loga
ko ko
sUcanA sUcanA
krAMwi krAMwi
kA kA
PAyaxA PAyaxA
wo wo
milegA mila
hI hI
, COMMA
NULL _
sAWa sAWa
hI hI
laxxAKa laxxAKa
kRewra kRewra
meM meM
wEnAwa wEnAwa
senA senA
ko ko
BI BI
brOYdabEMda brOYdabEMda
ke ke
jarie jariye
bAkI bAkI
kAryAlayoM kAryAlaya
se se
jodZane jodZa
meM meM
maxaxa maxaxa
milegI mila
. .
yaha yaha
rAjya rAjya
meM meM
AItI AItI
suviXAeM suviXA
pahuMcAne pahuMcA
ke kA
keMxra keMxra
sarakAra sarakAra
ke kA
prayAsoM prayAsa
kA kA
nawIjA nawIjA
hE hE
. .
SrInagara SrInagara
se se
leha leha
waka waka
ke kA
xurUha xurUha
rAswe rAswA
meM meM
OYptikala OYptikala
PAibara PAibara
biCAne biCA
kA kA
kAma kAma
bIesaenaela bIesaenaela
ne ne
senA senA
Ora Ora
sImA sImA
sadZaka sadZaka
saMgaTana saMgaTana
ke ke
sAWa sAWa
mila mila
kara kara
pUrA pUrA
kiyA kara
hE hE
. .
buXavAra buXavAra
ko ko
naI nayA
suviXA suviXA
ke kA
uxaGAtana uxaGAtana
ke kA
mOke mOkA
para para
mArana mArana
ke ke
alAvA alAvA
jammU jammU
- -
kaSmIra kaSmIra
ke kA
muKyamaMwrI muKyamaMwrI
muPwI muPwI
mohammaxa mohammaxa
saIxa saIxa
va va
kaI kaI
anya anya
variRTa variRTa
aXikArI aXikArI
mOjUxa mOjUxa
raheMge raha
. .
pulisa pulisa
ne ne
bqhaspawivAra bqhaspawivAra
ko ko
cAra cAra
variRTa variRTa
alagAvavAxI alagAvavAxI
newAoM newA
ko ko
anaMwanAga anaMwanAga
jile jilA
ke kA
KAnAbala KAnAbala
ilAke ilAkA
meM meM
hirAsawa hirAsawa
meM meM
le le
liyA le
. .
inameM yaha
jekeelaePa jekeelaePa
ceyaramEna ceyaramEna
mohammaxa mohammaxa
yAsIna yAsIna
malika malika
, COMMA
NULL _
demokretika demokretika
PrIdama PrIdama
pArtI pArtI
newA newA
SabIra SabIra
ahamaxa ahamaxa
SAha SAha
BI BI
SAmila SAmila
hEM hE
. .
ina yaha
logoM loga
ko ko
sWAnIya sWAnIya
nikAya nikAya
cunAva cunAva
viroXI viroXI
aBiyAna aBiyAna
calAne calA
para para
giraPwAra giraPwAra
kiyA kara
gayA jA
. .
mAkapA mAkapA
ne ne
SanivAra SanivAra
ko ko
kahA kaha
ki ki
rAjaga rAjaga
gaMBIra gaMBIra
rAjanIwika rAjanIwika
saMkata saMkata
meM meM
hE hE
. .
rAjaga rAjaga
ke kA
sahayogI sahayogI
GatakoM Gataka
meM meM
kuCa kuCa
gaTabaMXana gaTabaMXana
se se
alaga alaga
hone ho
para para
vicAra vicAra
kara kara
rahe raha
hEM hE
. .
keMxrIya keMxrIya
samiwi samiwi
kI kA
wIna wIna
xivasIya xivasIya
bETaka bETaka
ke kA
xUsare xUsarA
xina xina
mAkapA mAkapA
poliwa poliwa
byUro byUro
saxasya saxasya
sIwArAma sIwArAma
yecurI yecurI
ne ne
pawrakAroM pawrakAra
se se
kahA kaha
ki ki
BAjapA BAjapA
meM meM
na na
kevala kevala
gaMBIra gaMBIra
saMkata saMkata
hE hE
, COMMA
balki balki
isake yaha
kuCa kuCa
sahayogI sahayogI
xala xala
rAjaga rAjaga
CodZane CodZa
para para
BI BI
vicAra vicAra
kara kara
rahe raha
hEM hE
. .
EsI EsA
sWiwi sWiwi
meM meM
pArtI pArtI
ke kA
viswAra viswAra
ke ke
lie lie
KAlI KAlI
jagaha jagaha
BaranA Bara
jarUrI jarUrI
hE hE
. .
yecurI yecurI
ne ne
kahA kaha
ki ki
SukravAra SukravAra
ko ko
xeSa xeSa
kI kA
mOjUxA mOjUxA
rAjanIwika rAjanIwika
sWiwi sWiwi
para para
poliwa poliwa
byUro byUro
xvArA xvArA
pAriwa pAriwa
eka eka
praswAva praswAva
para para
keMxrIya keMxrIya
samiwi samiwi
xvArA xvArA
vicAra vicAra
- -
vimarSa vimarSa
kiyA kara
jA jA
rahA raha
hE hE
. .
unhoMne vaha
kahA kaha
ki ki
rAjaga rAjaga
vipakRa vipakRa
kI kA
BUmikA BUmikA
praBAvaSAlI praBAvaSAlI
warIke warIkA
se se
nahIM nahIM
niBA niBA
pAyA pA
hE hE
Ora Ora
yahI yaha
vajaha vajaha
hE hE
ki ki
yUpIe yUpIe
gaTabaMXana gaTabaMXana
ko ko
bAhara bAhara
se se
samarWana samarWana
xe xe
rahe raha
vAma vAma
xaloM xala
ko ko
sarakAra sarakAra
ko ko
jana jana
viroXI viroXI
nIwi nIwi
se se
rokane roka
ke ke
lie lie
pahala pahala
karanI kara
padZI padZa
. .
29 29
siwaMbara siwaMbara
ko ko
kaI kaI
badZe badZA
karmacArI karmacArI
saMgaTanoM saMgaTana
kI kA
ora ora
se se
praswAviwa praswAviwa
rARtravyApI rARtravyApI
hadZawAla hadZawAla
ko ko
pUrA pUrA
samarWana samarWana
jawAwe jawA
hue ho
yecurI yecurI
ne ne
kahA kaha
ki ki
Bojana Bojana
Ora Ora
rojagAra rojagAra
ke kA
muxxe muxxA
para para
jalxa jalxa
hI hI
saBI saBI
rAjyoM rAjya
meM meM
eka eka
badZA badZA
aBiyAna aBiyAna
CedZA CedZa
jAegA jA
. .
bihAra bihAra
meM meM
viXAnasaBA viXAnasaBA
cunAvoM cunAva
ke ke
bAre bAre
meM meM
unhoMne vaha
kahA kaha
ki ki
rAjaxa rAjaxa
Ora Ora
kAMgresa kAMgresa
xo xo
badZI badZA
XarmanirapekRa XarmanirapekRa
wAkaweM wAkawa
hEM hE
Ora Ora
isalie isaliye
yaha yaha
suniSciwa suniSciwa
karanA kara
unakI vaha
jimmexArI jimmexArI
hE hE
ki ki
sAMpraxAyika sAMpraxAyika
wAkawoM wAkawa
ke kA
PAyaxe PAyaxA
meM meM
XarmanirapekRa XarmanirapekRa
vota vota
baMte baMta
nahIM nahIM
. .
unhoMne vaha
kahA kaha
ki ki
keMxrIya keMxrIya
samiwi samiwi
eka eka
muxxe muxxA
para para
vicAra vicAra
kara kara
rahI raha
hE hE
ki ki
XarmanirapekRa XarmanirapekRa
mawoM mawa
ko ko
kisa kOna
waraha waraha
viBAjiwa viBAjiwa
hone ho
se se
rokA roka
jA jA
sake saka
. .
unakI vaha
pArtI pArtI
isa yaha
saMbaMXa saMbaMXa
meM meM
hara hara
saMBava saMBava
prayAsa prayAsa
karegI kara
Ora Ora
saBI saBI
XarmanirapekRa XarmanirapekRa
xaloM xala
se se
bAwa bAwa
karegI kara
. .
isa yaha
muxxe muxxA
para para
pArtI pArtI
kI kA
alaga alaga
rAya rAya
hone ho
ke ke
bAre bAre
meM meM
pUCe pUCa
jAne jA
para para
yecurI yecurI
ne ne
kahA kaha
ki ki
hAM hAz
, COMMA
EsA EsA
isalie isaliye
hE hE
ki ki
vaha vaha
eka eka
alaga alaga
pArtI pArtI
hE hE
, COMMA
varanA varanA
hama hama
eka eka
hI hI
pArtI pArtI
howe ho
. .
unhoMne vaha
kahA kaha
ki ki
yaha yaha
saBI saBI
logoM loga
ko ko
mahasUsa mahasUsa
karanA kara
hogA ho
ki ki
bihAra bihAra
meM meM
lAlU lAlU
prasAxa prasAxa
kI kA
pArtI pArtI
sabase sabase
badZA badZA
XarmanirapekRa XarmanirapekRa
xala xala
hE hE
. .
kAMgresa kAMgresa
aXyakRa aXyakRa
soniyA soniyA
gAMXI gAMXI
Ora Ora
petroliyama petroliyama
maMwrI maMwrI
maNiSaMkara maNiSaMkara
ayyara ayyara
se se
SukravAra SukravAra
subaha subaha
